	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
12907	2065	B0002CZVXM	A23033Q9WZBG4V	Musical Instruments	3	The screws provided were a bit bigger than my BC Rich Avenge Beasts stock strap system, BUT when you read the directions and lube the screws up with a small amount of bar soap (or wax- i used the bar soap though) the installation becomes easier.	1.0	Workaround	yes	after		45
12920	2069	B0002CZVXM	A2F92AOWTIUIB	Musical Instruments	1	Do as the manual says, lube them up every so often, and these will work like a charm.	1.0	Maintenance	yes	both		18
12927	2070	B0002CZVXM	A2HWUC980HM1NP	Musical Instruments	2	The strap has to be modified by increasing the size of the holes.	1.0	Usage	no	both		13
12952	2074	B0002CZVXM	A2X2GEABQXRX7P	Musical Instruments	6	They stick out too far and on any guitar with a strap button on the back it jabs you in the stomach or below!2- Problems engaging.	1.0	Warning	yes	before		26
12999	2086	B0002CZVXM	A768OB1LNE356	Musical Instruments	3	Only problem is the clip on install to the strap.	1.0	Usage	no	after		10
13008	2088	B0002CZVXM	ACVSCM9GWLNLS	Musical Instruments	4	This might make it a bit hmm I dont want to say hard to lock, but youd better make sure it is actually locked every time you fit it on by tugging on the thing to be sure, Mine has un-clipped a couple times because I didnt check.	1.0	Warning	yes	after		47
13019	2090	B0002CZVXM	AGH6UUAIAZLMB	Musical Instruments	4	Watch out for bridge interference when screwing in the back lok.	1.0	First time use	yes	both		11
13040	2095	B0002CZVXM	AMACM7BGUQCZD	Musical Instruments	2	A little difficult getting the lock mechanism installed on the strap, still only took about ten minutes to do.	1.0	First time use	yes	both		19
13091	2104	B0002CZW0Y	A11E4FWMN9BXJD	Musical Instruments	14	The only complaint I have is the screen has actually popped out of the plastic ring a couple times.	1.0	Workaround	yes	both		19
13166	2120	B0002CZW0Y	A2XXBZPQT5EXHV	Musical Instruments	3	The device clamps onto a microphone stand and then you adjust the goose neck to get the filter where you need it.	1.0	Warning	no	before		22
13171	2121	B0002CZW0Y	A310MXGFV4RIK0	Musical Instruments	3	"And being that it is rubberized, it allows you to adjust the filter to the mic without having to loosen everything up because rubber has an inherent ""give."" And this is where the flexible arm allows you to fine tune the filters proximity to the singer, allowing you to do what you do best -- Sing!"	1.0	Usage	yes	both		55
13180	2124	B0002CZW0Y	A37KK1CLMULHE4	Musical Instruments	2	It hooks onto the mic stand and works as advertised, i. e removes the pops from vocal recordings.	1.0	Usage	yes	before		17
13201	2130	B0002CZW0Y	ACUGOV6HBWDXB	Musical Instruments	4	It can easily lose grip of the arm holding the filter.	1.0	Warning	no	after		11
13205	2131	B0002CZW0Y	AD5G39PJUJVJ	Musical Instruments	1	wind screen is way too big its bulky and to me useless, the screen came out, was thinking of glueing it back in but went to ebay and bought 2 metal mesh pop filters cheaper that is MUCH better... avoid this!	1.0	Warning	yes	before		40
13228	2138	B0002CZW0Y	ASP978VO96X7C	Musical Instruments	1	great easily setup but some time i feel its not perfectly stop the Ps, i dont know why but some time i have to keep distance for that issue	1.0	Workaround	yes	both		29
13390	2170	B0002D01KO	A2IDOKLAT1MP8X	Musical Instruments	4	This bag is useless for kids as a drop would likely result in damage.	1.0	Warning	yes	before		14
13404	2174	B0002D01KO	AN1RO6C6I78YO	Musical Instruments	2	Fits a LP Studio perfectly, has room for small items in an outer zippered pocket.	1.0	Size	yes	both		15
13432	2182	B0002D02IU	A3BMI7VGJT60Y7	Musical Instruments	2	If youre a beginner looking for a first guitar or if youre experienced and are searching for a backup/travel option or anything like that, get this.	1.0	Population segment	yes	before		25
13455	2182	B0002D02IU	A3BMI7VGJT60Y7	Musical Instruments	25	Along with the guitar I bought some new strings (Martins) because 9/10 times the stock strings that come on instruments are awful.	1.0	Complementary product	yes	both		21
13462	2182	B0002D02IU	A3BMI7VGJT60Y7	Musical Instruments	32	All of that being said, it wouldnt hurt to pick up a pack of strings just to be safe.	1.0	Complementary product	yes	both		19
13492	2183	B0002D02IU	A8MTE6SIYM0GY	Musical Instruments	15	Seriously consider changing strings the second you take it out of the box... New, premium strings DO make a difference.	1.0	Complementary product	yes	after		20
13556	2196	B0002D05FU	A6LHCT7P53RSA	Musical Instruments	3	It works very well if you use it with a microfiber cloth.	1.0	Complementary product	yes	both		12
13613	2206	B0002D0B4K	A3K6M4WXNTYQEM	Musical Instruments	2	Unfortunately, these angle the speakers down by default, so I had to do some cutting and rearranging, but it worked out.	1.0	Workaround	yes	both		21
13668	2214	B0002D0C1C	A3L5L7OHXRY03L	Musical Instruments	2	They sound great for a couple of weeks and then get a bit dead.	1.0	Warning	yes	before		14
13669	2214	B0002D0C1C	A3L5L7OHXRY03L	Musical Instruments	3	I havent had any problems with breakage, just a loss of tone over time (seems faster than some other strings Ive tried).	1.0	Warning	yes	before		22
13679	2218	B0002D0CA8	A2XF1IANVPK7F	Musical Instruments	1	These strings retain a good feeling for a long time, well past the point of them needing changed because theyve lost brightness.	1.0	Usage	yes	before		22
13710	2230	B0002D0CAI	A39KDVU5JAXJIF	Musical Instruments	5	Yes, it is that bad, you cant do this to guitars like Seagulls... Bottom line, I recommend this string set for people looking to boost distortion on their guitar.	1.0	Usage	yes	before		29
13711	2230	B0002D0CAI	A39KDVU5JAXJIF	Musical Instruments	6	If you have guitars like seagulls or so, definitely avoid this string.	1.0	Usage	yes	before		12
13736	2240	B0002D0CEO	A1GOLQ90G6MHK6	Musical Instruments	4	one thing to point out is that print on pick fades away very quickly but i do not mind.	1.0	Other	yes	both		19
13780	2252	B0002D0CEO	A2B5LSF5V85SZA	Musical Instruments	2	If you like lighter get the smaller thickness or if you like heavy go for the larger thickness.	1.0	Size	yes	before		18
13783	2253	B0002D0CEO	A2BJZRLR99YW75	Musical Instruments	2	The logo will wear out in a few uses but I dont much about that.	1.0	Warning	yes	both		15
13793	2255	B0002D0CEO	A2F92AOWTIUIB	Musical Instruments	4	They are a little thin for rhythm playing however, and I recommend the .88 mm picks for that.	1.0	Usage	yes	both		17
13808	2259	B0002D0CEO	A32ZC1AIF9B85	Musical Instruments	3	I like the .88 mm because its just the right mix of medium and hard; great for someone looking to play blues or rock.	1.0	Usage	yes	before		23
13849	2269	B0002D0CEO	ALUTHT4U058KZ	Musical Instruments	2	If you want one set to cover both applications, this is a good choice.	1.0	Population segment	yes	before		14
13904	2282	B0002D0CGC	A3MTR7P9PYAALX	Musical Instruments	3	If you are a player who is somewhat meat-fisted when it comes to playing and needs to take the edge off, it is ideal.	1.0	Usage	yes	both		23
13905	2282	B0002D0CGC	A3MTR7P9PYAALX	Musical Instruments	4	Also, if you are doing very soft strumming on an acoustic guitar, it is awesome.	1.0	Usage	yes	both		15
13940	2291	B0002D0CGM	A3I49HMI4LV6HU	Musical Instruments	2	These super light flexible nylon picks are great if youre trying to play quietly.	1.0	Usage	yes	both		14
13969	2296	B0002D0CGW	A202CZ4PJH83G4	Musical Instruments	4	"Now if you are new to the ""perfect pick quest"", you must understand that picks are as subjective as scent, with personal grip, sound interaction, a host of music ingredients making your Grail different."	1.0	Usage	no	both		34
13998	2303	B0002D0CIK	A14Z9LAETO21KL	Musical Instruments	3	Ive even put them in a vice, and filed new points on them.	1.0	Workaround	no	both		13
14002	2304	B0002D0CIK	A1E5FQZTUM8OC1	Musical Instruments	3	If you are looking for the best grip you need to find a pick that has a textured grip.	1.0	Other	yes	before		19
14015	2307	B0002D0CIK	A2IRI1NFJJJ6MZ	Musical Instruments	2	That was not the case.	1.0	Warning	no	before		5
14020	2308	B0002D0CIK	A362IZKSMV6MA8	Musical Instruments	2	"It take a bit to wear that off but they are still good when they are ""clean"" as well."	1.0	Usage	yes	both		19
14111	2322	B0002D0CKI	A2C7BOQVFH1HLE	Musical Instruments	5	This makes it unfit for bass players and for strumming although you could get used to this for lead guitar playing.	1.0	Warning	no	before		21
14179	2333	B0002D0CL2	A1OZ7F08MNF320	Musical Instruments	1	just to let people know off the bat i can tell you these picks are small, and if you are used to big picks these might turn you off for a while.	1.0	Usage	yes	before		32
14231	2344	B0002D0CLC	A1IQKXGJSKTAHP	Musical Instruments	7	The distinct point on the pick drastically changes the sound of your playing, especially when playing chords.	1.0	Warning	no	before		17
14240	2344	B0002D0CLC	A1IQKXGJSKTAHP	Musical Instruments	17	Maybe if you typically play a TON of lead work, constantly, these would be the way to go.	1.0	Usage	yes	before		18
14279	2354	B0002D0CLM	A2MPM6M93OXIJT	Musical Instruments	5	They are a little scratchy on the edges.	1.0	Warning	yes	before		8
14312	2364	B0002D0CNA	A3DOXGBWDJ1MU0	Musical Instruments	3	This pick holder is a great way to have the picks available if you change picks often.	1.0	Usage	yes	both		17
14344	2372	B0002D0COE	A1VFUMY02HJIFY	Musical Instruments	3	Distilled water will extend the life of the sponge.	1.0	Maintenance	yes	both		9
14349	2372	B0002D0COE	A1VFUMY02HJIFY	Musical Instruments	8	So I think the Planet Waves humidifier works well for its intended purpose, but you do have to monitor that you are not over or under utilizing it.	1.0	Usage	yes	both		28
14351	2373	B0002D0COE	A27WU4E7J23ZS7	Musical Instruments	2	If humidity levels in your area go below 40% you simply need to provide extra humidity to prevent cracks.	1.0	Usage	yes	after		18
14353	2374	B0002D0COE	A2B58VXLLOFQKR	Musical Instruments	2	This has a replaceable sponge, you take it out, soak it and squeeze out excess then put it back in container, would say it gets more humidity out.	1.0	Usage	yes	after		28
14355	2375	B0002D0COE	A33H0WC9MI8OVW	Musical Instruments	2	If you dont over-fill, it will not drip, and you can simply place it in your case instead of the usual sponge.	1.0	Usage	yes	after		21
14357	2376	B0002D0COE	A3H4FCMNBYS09K	Musical Instruments	2	only complaint is that sponge is very small and in very dry areas it needs to be checked and refilled 2 times a week.	1.0	Usage	yes	after		23
14359	2377	B0002D0COE	A3HN470MGR70D2	Musical Instruments	2	It would not work for an f-hole archtop or other types of instruments such as mandolin or ukulele.	1.0	Warning	yes	before		17
14361	2377	B0002D0COE	A3HN470MGR70D2	Musical Instruments	4	If you use distilled water (as recommended) it should last quite a while.	1.0	Usage	yes	both		13
14362	2377	B0002D0COE	A3HN470MGR70D2	Musical Instruments	5	The top comes off with a gentle press on the sides.	1.0	Usage	yes	after		11
14363	2377	B0002D0COE	A3HN470MGR70D2	Musical Instruments	6	The dry sponge can be a little difficult to remove with fingers but tweezers or needle nose pliers work perfectly.	1.0	Workaround	no	both		20
14365	2377	B0002D0COE	A3HN470MGR70D2	Musical Instruments	8	I drip a little distilled water on the sponge, squeeze out any excess, and the assembled case pops in easily between the D and G strings, suspended in the middle of the sound hole.	1.0	Usage	yes	after		34
14388	2379	B0002D0COE	A3QNHDUBMA6WQM	Musical Instruments	10	Try not to over-douse the sponge in order to avoid water damage to the guitar.	1.0	Warning	yes	before		14
14412	2381	B0002D0COE	A8ANJNZAZQ6IQ	Musical Instruments	21	You can easily clean the inside or run it through a dishwasher.	1.0	Maintenance	yes	both		12
14413	2381	B0002D0COE	A8ANJNZAZQ6IQ	Musical Instruments	22	"If you give the inside a quick rinse every few fills, Im sure it would be a decade before anything ""built up"" to require extensive cleaning or replacement."	1.0	Usage	yes	both		28
14461	2391	B0002D0CQC	A2C46HQIZLYJUC	Musical Instruments	7	To apply this you simply hold the handle and press down while running it along each string, one string at a time.	1.0	Usage	yes	after		22
14464	2391	B0002D0CQC	A2C46HQIZLYJUC	Musical Instruments	10	Thats ok. You will need to wipe away the excess, and Im telling you, if you accidentally get too much, that excess oil may not come off easily (didnt for me at least).	1.0	Usage	no	after		32
14472	2392	B0002D0CQC	A2C7BOQVFH1HLE	Musical Instruments	1	I discovered this string lubricant many years ago and I concur with what most of the reviewers here have said about it although I wouldnt call it a string cleaner although you indirectly clean the strings if you use the cloth and like another reviewer stated you should also use the cloth to clean the undersides of your strings as well.	1.0	Maintenance	yes	after		61
14489	2395	B0002D0CQC	A32BCTL0HLOXRV	Musical Instruments	5	The only thing I dont like is the can will not fit in accessory area of my guitar case and the led has sharp edges, so put it down before using the cleaner.	1.0	Size	yes	both		33
14496	2397	B0002D0CQC	AKYDGCKCY7H9F	Musical Instruments	1	I agree with all of the reviews, but have found another area to use fast fret on: THE NUT.	1.0	Alternative use	yes	both		19
14530	2410	B0002D0DWK	AJCHGS1GND4OA	Musical Instruments	4	They stay exactly where you put them so be sure to get it right the first time.	1.0	Warning	yes	after		17
14580	2421	B0002D0E8S	A2FN5DGPDO01W	Musical Instruments	2	It is a bit slippery so for top-heavy guitars like Les Pauls the neck tends to keep slipping down so you have to support it with your fret hand a little.	1.0	Warning	yes	before	before	30
14581	2421	B0002D0E8S	A2FN5DGPDO01W	Musical Instruments	3	I thinking of sewing a silicon mat on the underside so it will stay put on my shoulder.	1.0	Workaround	no	both		18
14587	2423	B0002D0E8S	A2KJY8BRDP8RZP	Musical Instruments	3	They leather ends do not rub the guitar finish and the holes do not wear out as fast.	1.0	Usage	yes	both		18
14670	2444	B0002D0HY4	AETQIN7OH0RL9	Musical Instruments	2	Limited dynamic range.	1.0	Warning	yes	before		3
14757	2452	B0002D0KOG	A14PY68SX7D5DV	Musical Instruments	10	It unscrews easily when the mic stand is moved.	1.0	Usage	no	both		9
14761	2454	B0002D0KOG	A1E5FQZTUM8OC1	Musical Instruments	1	This mic stand will work great for micing full stacks and guitar amps.	1.0	Usage	yes	before		13
14763	2454	B0002D0KOG	A1E5FQZTUM8OC1	Musical Instruments	3	You should make sure one of the feet is pointing in the exact same direction as the microphone arm so that way the downward force is applied directly onto the support leg.	1.0	Usage	yes	after		32
14773	2456	B0002D0KOG	A2NYK9KWFMJV4Y	Musical Instruments	7	This stand will reach any stand that is chair seat height.	1.0	Size	yes	before		11
14804	2461	B0002D0KOG	A34WEXT7SIRFE4	Musical Instruments	6	Adjusting it is a tad tedious, but, you can get a really good position with the microphone after a couple minutes.	1.0	Warning	yes	before		21
14808	2461	B0002D0KOG	A34WEXT7SIRFE4	Musical Instruments	10	Make sure the boom is aligned with a leg extension, or it will tip over if theres too much weight.	1.0	Workaround	no	both		20
14813	2461	B0002D0KOG	A34WEXT7SIRFE4	Musical Instruments	15	If youre hesitant on attaching a lot of stuff to it, then, I would recommend shelling out a couple more dollars for a sturdier stand.	1.0	Warning	yes	before		25
14820	2465	B0002D0L40	A7KIY7RDFHRN9	Musical Instruments	2	Works well once you learn the trick of scuffing it up the first time you use it.	1.0	First time use	yes	both		17
14831	2469	B0002D0LKY	A1JNNQAUI5FZV	Musical Instruments	1	Good length but very slippery.	1.0	Workaround	no	both		5
14853	2475	B0002D0LM2	A2CJVLER896Q7L	Musical Instruments	2	Dont change your knobs or any kind of part in your Gibson (Les Paul, SG or any other) if not for the real deal.	1.0	Warning	yes	both		24
14857	2476	B0002D0LM2	A2FN5DGPDO01W	Musical Instruments	2	These fit the American sized pots perfectly.	1.0	Usage	yes	both		7
14970	2495	B0002D0Q2W	A1HSW0NIX8VQ07	Musical Instruments	2	Sometimes though when I hit the switch the light turns on and there is a second before the signal comes back.	1.0	Warning	yes	before		21
15022	2501	B0002D0Q2W	AN5QXK8A9F8LH	Musical Instruments	5	The switch does seem of a poor quality, but if it did break im sure either send it in and get a new one or put a nicer switch in yourself.	1.0	Workaround	yes	both		31
15029	2501	B0002D0Q2W	AN5QXK8A9F8LH	Musical Instruments	12	Ive got the standard 9v i think from planet waves and its powering it just right, so far.	1.0	Warning	no	both		17
15142	2529	B0002DV6RQ	A14BICJ93WO926	Musical Instruments	4	I also think these strings last a decent amount of time, particularly if you wipe your strings after playing (which I need to get better at doing).	1.0	Maintenance	yes	after		27
15189	2540	B0002DV7U2	A1OV2BH2S11KBA	Musical Instruments	2	Wasnt sure what to do with it so I now use it to mount a large cookbook, or notepad computer, so I can follow a recipe.	1.0	Alternative use	no	both		26
15191	2540	B0002DV7U2	A1OV2BH2S11KBA	Musical Instruments	4	Just dont use this for guitars.	1.0	Usage	yes	both		6
15192	2540	B0002DV7U2	A1OV2BH2S11KBA	Musical Instruments	5	An electric guitar will slide out and fall because it leans back too far, and the arms have no grip.	1.0	Usage	yes	both		20
15199	2541	B0002DV7U2	A1TJ393OFP21I8	Musical Instruments	2	It leans WAYYY too far back.	1.0	Warning	yes	before		6
15203	2542	B0002DV7U2	A1VU51HBF6KIYB	Musical Instruments	1	The fender mini electric guitar stand is not made for the fender / Squire mini guitar.	1.0	Usage	yes	before		15
15206	2542	B0002DV7U2	A1VU51HBF6KIYB	Musical Instruments	4	The fender stand for standard guitars will not work on the 3/4 size ether.	1.0	Usage	yes	before		13
15219	2546	B0002DV7U2	ADOSJR623FDF1	Musical Instruments	1	This stand is designed to work on electric guitars, not acoustic or acoustic/electric guitars.	1.0	Warning	no	before		13
15231	2549	B0002DV7ZM	A14XXL4GMWSI47	Musical Instruments	2	Not good for smaller instruments, like the name may imply to some.	1.0	Warning	no	before		12
15246	2554	B0002DV7ZM	A1LQC225SE8UNI	Musical Instruments	2	Get a heavier stand or a wall hanger if you have a fabulous vintage Martin or a handmade Henderson.	1.0	Warning	yes	before		19
15250	2556	B0002DV7ZM	A1XDIC6OQKYJXW	Musical Instruments	1	This stand folds into a pretty small package, but supports the guitar very solidly.	1.0	Size	yes	before		14
15269	2560	B0002DV7ZM	A2T2SAJS88MYU4	Musical Instruments	5	Perhaps it might be too light for a very heavy guitar.	1.0	Warning	yes	before		11
15301	2570	B0002DVBJY	A2YSBRBYSI0524	Musical Instruments	1	i play metal / hard rock and have used many different strings, these give the best tone and depth you need to play hard music	1.0	Usage	yes	before		24
15311	2573	B0002E1G5C	A10FM4ILBIMJJ7	Musical Instruments	3	The end that turns the machine tuners is a little loose feeling but it still works well, you just have to be a little carful about not allowing it to slip and to not over tighten the strings.	1.0	Usage	yes	both		38
15331	2578	B0002E1G5C	A149F91FB9WTW6	Musical Instruments	2	i guess for taking w/ you on gig bag would be great as you only have one tool, but if using at home, then i think is more convenient to have a separate cutter.	1.0	Usage	yes	after		33
15418	2599	B0002E1G5C	A1SCWHXAB2ZK7N	Musical Instruments	2	Except the little knob thats supposed to take out the parts that hold in the strings (the little pins or whatever) it doesnt grip onto mine (I have an acoustic jasmine takkamine) so I had to get out pliers from my toolbox, but thats okay.	1.0	Usage	yes	both		45
15558	2632	B0002E1G5C	A380AI4SNSJTTY	Musical Instruments	1	Its great for cutting strings but the winder is pretty difficult if you don`t know what your doing.	1.0	Warning	no	before		19
15577	2637	B0002E1G5C	A3DZBMO93FHKTH	Musical Instruments	1	It works fine for the regular guitars but the bass guitar has these very wide tuning pegs.	1.0	Usage	yes	before		17
15642	2652	B0002E1G5C	A6GXP9ESXIH7O	Musical Instruments	2	"But the pin puller does not fit my guitar pins even though the ad claims that, ""... it fits virtually all guitars, banjos and mandolins...""  Oh well... another lessson learned."	1.0	Usage	yes	both		29
15648	2653	B0002E1G5C	A91PW87FR65XH	Musical Instruments	6	The cutter works great, you just have to be careful.4.	1.0	Warning	yes	both		9
15681	2660	B0002E1G5C	AJOK2CO9LSF37	Musical Instruments	2	I just had to loosen the screw that holds the winder a bit and lubricated it with silicone spray and done deal!	1.0	Workaround	yes	before		22
15704	2664	B0002E1G5C	ALHC64J88LVWO	Musical Instruments	10	PROS:  Good strong well-designed unitCONS: The winder is held on by a single screw and there are numerous reports of that screw coming unscrewed during use.	1.0	Workaround	no	after		25
15716	2664	B0002E1G5C	ALHC64J88LVWO	Musical Instruments	22	Bottom line is there is some responsibility of the user to pay attention to what theyre doing, dont get in a rush, and be aware of the need to protect their instrument while using ANY modification tool.	1.0	Warning	yes	after		37
15717	2664	B0002E1G5C	ALHC64J88LVWO	Musical Instruments	23	I suspect if one is going to get in a hurry and try to change strings 0 to 60 in 5 seconds... they may wind up damaging their guitar.	1.0	Usage	yes	after		26
15718	2664	B0002E1G5C	ALHC64J88LVWO	Musical Instruments	24	Turn on the light, put on reading glasses if necessary to see... and take your time and this device should work fine.	1.0	Usage	yes	after		22
15719	2664	B0002E1G5C	ALHC64J88LVWO	Musical Instruments	25	Be aware when reading reviews that many seem to be out of date (dunno why the company didnt simply start a new listing when redesigning the device).	1.0	Warning	yes	before		27
15737	2670	B0002E1G5C	ATL0URQ0KUKGZ	Musical Instruments	2	The only thing, for me, was the peg winder was getting in the way.	1.0	Workaround	no	after		14
15782	2678	B0002E1H9W	A2CCGGDGZ694CT	Musical Instruments	2	You have to be very careful with the fretboard cleaner because it will dry out the fretboard but the conditioner is included and can be applied after.	1.0	Warning	yes	both		27
15842	2690	B0002E1I2I	AGW1JFTQNX7SZ	Musical Instruments	1	This product is a must for anyone with a rosewood fretboard guitar.	1.0	Population segment	yes	both		12
15849	2691	B0002E1J3Q	A1HTV2563HTSQV	Musical Instruments	4	Lasts slmost 3 weeks before the tone dies.	1.0	Maintenance	yes	both		7
15871	2696	B0002E1J3Q	ANU2BFZ9STYXU	Musical Instruments	3	Only con is that Ernie Ball strings seem to wear out fast and lose tone.	1.0	Warning	yes	before		15
15878	2698	B0002E1J5E	A2F2L5F9OWWVY6	Musical Instruments	2	If your gonna play metal you need bigger strings than just 46-9.	1.0	Usage	yes	before		12
15899	2700	B0002E1J5E	A2QPZKGUDE7RJ4	Musical Instruments	1	I read a review saying that there bridge was floating out & the strings were hard to tune aswell as their e string popping.	1.0	Warning	no	before		23
15907	2701	B0002E1J5E	A34EGGJLO553D8	Musical Instruments	6	When Im in the studio recording, I prefer, like I said before, Daddario or curt mangan strings, however to save money, I practice with these strings and I think its not a bad method, as I go through strings like doritos (I eat doritos alot).	1.0	Usage	yes	both		45
15951	2709	B0002E1NNM	A2C7BOQVFH1HLE	Musical Instruments	10	For better string life, just wipe down and clean the strings before and after use.	1.0	Maintenance	yes	both		15
16008	2716	B0002E1NQ4	A7IBOCJ0K4V8C	Musical Instruments	2	Additionally, it easily snaps off the banjo when you want to put the banjo in a tight case... My case is tight around the head, so I unsnap the strap and store it in the case by the neck of the banjo.	1.0	Usage	yes	after		42
16062	2728	B0002E1O2C	A2GVH4P25TXN8M	Musical Instruments	4	They take several months to wear out (as opposed to the weeks other major brands last).	1.0	Usage	yes	both		16
16082	2732	B0002E1O2C	A2Z89YMZZJWBHS	Musical Instruments	8	Its after 20 hours of play that they show their strength.	1.0	Usage	yes	both		10
16144	2742	B0002E1O2C	AMP0Z3DR4RCH7	Musical Instruments	1	These are expensive, they seem to last longer, but when they start to wear, they develop a fuzz where - I assume - the nanoweb is wearing off.	1.0	Usage	yes	before		26
16168	2744	B0002E1O2M	A2AWJRUEY9IG4B	Musical Instruments	6	An obvious noticeable difference between the Medium gauge and the Light is that these Medium gauge are not recommended if you like to finger-pick a lot.	1.0	Warning	yes	before		25
16214	2750	B0002E1O2M	A3UZITVEOSRRHD	Musical Instruments	3	When picking my fingers would slip on the nano string rather than pluck.	1.0	Warning	no	before		13
16219	2751	B0002E1O2M	A6KYDNP84GGGJ	Musical Instruments	4	However, you may have to adjust your truss rod if you change from lite or extra light.	1.0	Usage	yes	after		17
16226	2753	B0002E1O2W	A1VG6TG6LKBPKP	Musical Instruments	6	Oh, and do yourself a favor and store your guitars in their cases when you are not playing them.	1.0	Maintenance	yes	after		19
16243	2758	B0002E1O2W	AW91VDERXXKGT	Musical Instruments	7	The advantage is that these strings get very little crud on them.	1.0	Maintenance	yes	after		12
16248	2758	B0002E1O2W	AW91VDERXXKGT	Musical Instruments	12	They are a bit slippery, and some people have reported having trouble because of this, but its fine for me.	1.0	Warning	yes	both		20
16280	2762	B0002E1O3G	A34KO3JNKTZU6Y	Musical Instruments	7	They do, however, seem to take a little more breaking in than other strings... but its worth it.	1.0	Usage	yes	before		18
16309	2768	B0002E1O3G	A7ZP18XOIJADI	Musical Instruments	5	The Nanos may sound better for you on a hollow-body electric, and the Polys may sound better for you on a solid body electric; its a personal preference like anything else.	1.0	Usage	yes	after		30
16331	2774	B0002E1O5E	A2QPZKGUDE7RJ4	Musical Instruments	3	They last long, are easy to tune, & have a nice bright sound & if you take proper care of them (wipe them down when your done playing, keep the guitar in your gig bag when your not using it, ETC.)	1.0	Maintenance	yes	after		39
16396	2790	B0002E1O7W	A2EZWZ8MBEDOLN	Musical Instruments	3	If your hands perspire when you play, this product will keep your strings sounding new and fresh.	1.0	Usage	yes	both		17
16447	2801	B0002E1OVS	A13TQHVN7WBUPD	Musical Instruments	4	It _may_ tend to overdrive a little bit.	1.0	Warning	yes	before		7
16452	2801	B0002E1OVS	A13TQHVN7WBUPD	Musical Instruments	9	"My biggest complaint is that the finish on the body is thicker and less ""natural"" that the image appears to be."	1.0	Other	yes	before		21
16461	2803	B0002E1OVS	A2U7ZM8TAJUFPQ	Musical Instruments	4	Secondly, the guitar is pictured as being much lighter in color than it actually is.	1.0	Other	yes	before		15
16474	2804	B0002E1OVS	AXG9N4QFS4QYP	Musical Instruments	8	The edges of the frets could use some more finishing, they are still a bit edgy.	1.0	Maintenance	no	both		16
16481	2804	B0002E1OVS	AXG9N4QFS4QYP	Musical Instruments	15	As others have noted, the finish can vary drastically.	1.0	Warning	yes	before		9
16491	2804	B0002E1OVS	AXG9N4QFS4QYP	Musical Instruments	25	CONS:Tuners may or may not slip when playing hard.	1.0	Warning	yes	before		10
16500	2806	B0002E2EOE	A1C0O09LOLVI39	Musical Instruments	1	i would use this again, the plastic around the ball scraped away and the ball flew out making it useless	1.0	Warning	yes	before		20
16525	2808	B0002E2EOE	A3JUQ2E799OC5B	Musical Instruments	21	Once you find a tuning you like, you could write down what number it took to achieve the pitch you like on each head, that would make it easy to quickly get back to the same pitch if/when your drums need to be tuned again.	1.0	Usage	yes	after		44
16527	2809	B0002E2EOE	A3SMT15X2QVUR8	Musical Instruments	2	When it arrived the instructions were not clear, but I sat the dial to #2, loosened all of the lugs on my floor tom and went around my lugs using opposing lug patterns, and tested the first cut of tuning.	1.0	Usage	no	after		39
16531	2809	B0002E2EOE	A3SMT15X2QVUR8	Musical Instruments	7	Using the #3 setting plus an eighth turn I got my toms 1/2 octave apart.	1.0	Usage	yes	after		13
16532	2809	B0002E2EOE	A3SMT15X2QVUR8	Musical Instruments	8	Next I worked on my snare drum, starting with the snare side, then the batter side.	1.0	Usage	yes	after		16
16533	2809	B0002E2EOE	A3SMT15X2QVUR8	Musical Instruments	9	I used #4 on the batter side and #5 on the snare side, and managed to get the crisp, yet warm, sound I wanted.	1.0	Usage	yes	after		22
16534	2809	B0002E2EOE	A3SMT15X2QVUR8	Musical Instruments	10	The bass drum came next - I set the batter side tension 1 notch below the resonant side and achieve a great tuning.	1.0	Usage	no	after		21
16536	2809	B0002E2EOE	A3SMT15X2QVUR8	Musical Instruments	12	This is an easy device to use - with the lever facing you move it to the left, loosen all of your lugs, then tighten each starting with one or two.	1.0	Usage	no	after		30
16538	2809	B0002E2EOE	A3SMT15X2QVUR8	Musical Instruments	14	Test, increase a notch if necessary, and repeat until you get the sound you want.	1.0	Usage	yes	after		15
16539	2809	B0002E2EOE	A3SMT15X2QVUR8	Musical Instruments	15	Set the resonant heads either one notch higher or lower to make sure the batter and resonant heads do not cancel each other (and to your desired sound), and you will have a perfectly tuned set.	1.0	Usage	yes	after		36
16541	2809	B0002E2EOE	A3SMT15X2QVUR8	Musical Instruments	17	Youll be amazed by the results if you tune with this key, and dont forget to write down your optimum settings.	1.0	Usage	yes	after		21
16553	2812	B0002E2G24	A1EWYZI4ZHU9XZ	Musical Instruments	2	The switch travel is greater than it is for a standard 3-way switch, and if you use the common Fender replacement control plate (or one that was only intended for a 3-way switch, it may not fit.	1.0	Warning	yes	before		35
16568	2814	B0002E2G2O	ADH0O8UVJOT10	Musical Instruments	3	Youll likely need to bore out additional diameter for the peg hole with a drill press or tapered reamer.	1.0	Usage	no	after		19
16590	2819	B0002E2GMY	A18RGYRCEN181M	Musical Instruments	2	Just remember you will have to drill for the guide posts.	1.0	Usage	yes	after		11
16604	2821	B0002E2GMY	A1EVEQAR05SY7L	Musical Instruments	4	I filed them off.	1.0	Workaround	no	both		4
